timestamp,left_signal,right_signal
0.0,0.5418993,-0.83669233
0.0033333333333333335,0.50854486,-0.8399047
0.006666666666666667,0.47529358,-0.8430886
0.01,0.44215417,-0.8462432
0.013333333333333334,0.4091354,-0.84936756
0.016666666666666666,0.37624598,-0.8524608
0.02,0.34349468,-0.85552204
0.023333333333333334,0.3108903,-0.85855037
0.02666666666666667,0.2784415,-0.861545
0.03,0.24615708,-0.864505
0.03333333333333333,0.2140458,-0.86742944
0.03666666666666667,0.18211636,-0.8703175
0.04,0.15037754,-0.87316823
0.043333333333333335,0.118838094,-0.87598085
0.04666666666666667,0.087506756,-0.8787544
0.05,0.056392286,-0.88148797
0.05333333333333334,0.025503421,-0.8841808
0.056666666666666664,-0.005151083,-0.8868319
0.06,-0.03556248,-0.88944036
0.06333333333333334,-0.065722026,-0.8920054
0.06666666666666667,-0.09562096,-0.89452606
0.07,-0.12525055,-0.89700156
0.07333333333333333,-0.15460204,-0.8994309
0.07666666666666666,-0.18366668,-0.9018132
0.08,-0.2124357,-0.9041477
0.08333333333333333,-0.24090041,-0.9064334
0.08666666666666667,-0.269052,-0.9086695
0.09,-0.29688177,-0.910855
0.09333333333333334,-0.32438093,-0.91298914
0.09666666666666666,-0.35154074,-0.915071
0.1,-0.3783525,-0.91709965
0.10333333333333333,-0.4048074,-0.91907424
0.10666666666666667,-0.4308967,-0.9209939
0.11,-0.45661166,-0.92285776
0.11333333333333333,-0.48194358,-0.9246649
0.11666666666666667,-0.5068836,-0.9264145
0.12,-0.53142315,-0.92810553
0.12333333333333334,-0.5555533,-0.92973727
0.12666666666666668,-0.57926536,-0.9313088
0.13,-0.6025506,-0.9328192
0.13333333333333333,-0.6254003,-0.9342675
0.13666666666666666,-0.6478057,-0.93565303
0.14,-0.66975796,-0.93697476
0.14333333333333334,-0.6912485,-0.9382318
0.14666666666666667,-0.71226835,-0.9394234
0.15,-0.73280895,-0.94054854
0.15333333333333332,-0.7528615,-0.9416064
0.15666666666666668,-0.7724172,-0.9425961
0.16,-0.79146737,-0.9435167
0.16333333333333333,-0.8100032,-0.94436735
0.16666666666666666,-0.82801604,-0.94514716
0.17,-0.84340507,-0.9445597
0.17333333333333334,-0.8587058,-0.94427115
0.17666666666666667,-0.87300116,-0.94377583
0.18,-0.88835573,-0.9431639
0.18333333333333332,-0.9027095,-0.94271183
0.18666666666666668,-0.9151604,-0.94262755
0.19,-0.9289469,-0.94261634
0.19333333333333333,-0.9414811,-0.94267064
0.19666666666666666,-0.95285094,-0.94324017
0.2,-0.9634205,-0.943503
0.20333333333333334,-0.9744983,-0.9431956
0.20666666666666667,-0.9835827,-0.9439399
0.21,-0.99411684,-0.9439839
